int	1	0	0	0	1
int	2	1	0	0	1
main	3	1	0	0	1
(	4	1	0	0	1
)	5	1	0	0	1
{	6	1	0	0	1
}|int|while|var 	8	0	1	0	1
}	-1	1	0	1	1
int|while|var 	10	0	0	0	0
}	14	0	0	0	1
int|while|var 	11	0	0	0	1
int	15	0	0	0	0
while	52	0	0	0	0
var	48	0	0	0	1
}	-1	0	0	1	1
int	16	1	0	0	1
var	17	1	0	0	1
,|=|;	19	0	1	0	1
;	-1	1	0	1	1
,	22	0	0	0	0
=	25	0	0	0	0
;	80	0	0	0	1
,	23	1	0	0	1
var	24	1	0	0	1
,|=|;	19	0	0	0	1
=	26	1	0	0	1
const|var	30	0	1	0	1
,|;	28	0	0	0	1
,	44	0	0	0	0
;	47	0	0	0	1
const 	32	0	0	0	0
var	34	0	0	0	1
const	33	1	0	0	1
;|,|+|-	36	0	0	0	1
var	35	1	0	0	1
;|'|+|-	36	0	0	0	1
+|-	39	0	0	0	0
;|'	38	0	0	0	1
,|;	-1	0	0	1	1
+|-	40	0	0	0	1
+	42	0	0	0	0
-	43	0	0	0	1
+	-1	1	0	1	1
-	-1	1	0	1	1
,	45	1	0	0	1
var	46	1	0	0	1
,|=|;	19	0	0	0	1
;	-1	0	0	1	1
var	49	1	0	0	1
=	50	1	0	0	1
const|var	30	0	1	0	1
;	-1	1	0	1	1
while	53	1	0	0	1
(	54	1	0	0	1
const|var|)	59	0	1	0	1
)	56	1	0	0	1
{	57	1	0	0	1
}|int|while|var 	8	0	1	0	1
}	-1	1	0	1	1
const|var	62	0	0	0	0
)	61	0	0	0	1
)	-1	0	0	0	1
const	64	0	0	0	0
var	66	0	0	0	1
const	65	1	0	0	1
<=|>=|<|>|)	68	0	0	0	1
var	67	1	0	0	1
<=|>=|<|>|)	68	0	0	0	1
<=|>=|<|>	71	0	0	0	0
)	70	0	0	0	1
)	-1	0	0	1	1
<=|>=|<|>	72	0	0	0	1
<=	76	0	0	0	0
>=	77	0	0	0	0
<	78	0	0	0	0
>	79	0	0	0	1
<=	-1	1	0	1	1
>=	-1	1	0	1	1
<	-1	1	0	1	1
>	-1	1	0	1	1
;	-1	0	0	1	1
